(9.500000,4.000000,0.000000,1820,0.216867)
(9.500000,5.000000,0.000000,1821,0.192771)
(9.500000,6.000000,0.000000,1821,0.192771)
(9.500000,7.000000,0.000000,1821,0.192771)
(9.500000,15.000000,0.000000,1819,0.240964)
(9.500000,16.000000,0.000000,1821,0.192771)
(9.550000,3.000000,0.000000,1820,0.216867)
(9.550000,4.000000,0.000000,1818,0.289157)
(9.550000,5.000000,0.000000,1821,0.192771)
(9.550000,6.000000,0.000000,1821,0.192771)
(9.550000,7.000000,0.000000,1821,0.192771)
(9.550000,15.000000,0.000000,1819,0.240964)
(9.550000,16.000000,0.000000,1821,0.192771)
(9.600000,0.000000,0.000000,1820,0.216867)
(9.600000,1.000000,0.000000,1820,0.216867)
(9.600000,2.000000,0.000000,1821,0.192771)
(9.600000,3.000000,0.000000,1821,0.192771)
(9.600000,4.000000,0.000000,1821,0.192771)
(9.600000,5.000000,0.000000,1820,0.216867)
(9.600000,6.000000,0.000000,1821,0.192771)
(9.600000,7.000000,0.000000,1821,0.192771)
(9.600000,15.000000,0.000000,1820,0.216867)
(9.650000,0.000000,0.000000,1821,0.192771)
(9.650000,1.000000,0.000000,1821,0.192771)
(9.650000,2.000000,0.000000,1820,0.216867)
(9.650000,3.000000,0.000000,1821,0.192771)
(9.650000,4.000000,0.000000,1801,0.304878)
(9.650000,5.000000,0.000000,1821,0.192771)
(9.650000,6.000000,0.000000,1821,0.192771)
(9.650000,15.000000,0.000000,1820,0.216867)
(9.500000,0.000000,1.000000,1799,0.329268)
(9.500000,1.000000,1.000000,1802,0.280488)
(9.500000,2.000000,1.000000,1818,0.240964)
(9.500000,3.000000,1.000000,1820,0.204819)
(9.500000,4.000000,1.000000,1820,0.204819)
(9.500000,5.000000,1.000000,1820,0.204819)
(9.500000,6.000000,1.000000,1820,0.204819)
(9.500000,7.000000,1.000000,1820,0.204819)
(9.500000,8.000000,1.000000,1820,0.204819)
(9.500000,9.000000,1.000000,1799,0.341463)
(9.500000,10.000000,1.000000,1777,0.493827)
(9.500000,11.000000,1.000000,1799,0.341463)
(9.500000,12.000000,1.000000,1797,0.378049)
(9.500000,13.000000,1.000000,1820,0.204819)
(9.500000,14.000000,1.000000,1820,0.204819)
(9.500000,15.000000,1.000000,1818,0.240964)
(9.500000,16.000000,1.000000,1820,0.204819)
